company,code,hotel,price,location,run_date,checkin,checkout,address
American Express,AMX,TownePlace Suites Fort Meade National Business Park,136,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"120 National Business Parkway Annapolis Junction, Maryland 20701"
American Express,AMX,Courtyard Fort Meade BWI Business District,87,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"2700 Hercules Road Annapolis Junction, Maryland 20701"
American Express,AMX,TownePlace Suites Arundel Mills BWI Airport,105,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7021 Arundel Mills Circle Hanover, Maryland 21076"
American Express,AMX,Residence Inn Arundel Mills BWI Airport,103,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7035 Arundel Mills Circle Hanover, Maryland 21076"
American Express,AMX,Element Arundel Mills BWI Airport,132,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7522 Teague Road Hanover, Maryland 21076"
American Express,AMX,Aloft Arundel Mills BWI Airport,Rate Unavailable,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7520 Teague Road Hanover, Maryland 21076"
American Express,AMX,SpringHill Suites Arundel Mills BWI Airport,79,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7544 Teague Road Hanover, Maryland 21076"
American Express,AMX,Fairfield Inn & Suites Arundel Mills BWI Airport,116,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"7539 Teague Road Hanover, Maryland 21076"
American Express,AMX,Fairfield Inn Laurel,107,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"13700 Baltimore Avenue Laurel, Maryland 20707"
American Express,AMX,Sheraton Baltimore Washington Airport Hotel - BWI,103,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1100 Old Elkridge Landing Road Linthicum Heights, Maryland 21090"
American Express,AMX,The Westin Baltimore Washington Airport - BWI,109,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1110 Old Elkridge Landing Road Linthicum Heights, Maryland 21090"
American Express,AMX,SpringHill Suites Baltimore BWI Airport,92,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"899 Elkridge Landing Road Linthicum, Maryland 21090"
American Express,AMX,BWI Airport Marriott,Rate Unavailable,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1743 West Nursery Road Linthicum, Maryland 21090"
American Express,AMX,Courtyard Baltimore BWI Airport,92,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1671 West Nursery Road Linthicum, Maryland 21090"
American Express,AMX,Fairfield Inn & Suites Baltimore BWI Airport,91,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1020 Andover Road Linthicum Heights, Maryland 21090"
American Express,AMX,Residence Inn Baltimore BWI Airport,109,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1160 Winterson Road Linthicum, Maryland 21090"
American Express,AMX,Aloft BWI Baltimore Washington International Airport,Rate Unavailable,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1741 West Nursery Road Linthicum, Maryland 21090"
American Express,AMX,TownePlace Suites Baltimore BWI Airport,117,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1171 Winterson Road Linthicum, Maryland 21090"
American Express,AMX,Courtyard Silver Spring North/White Oak,97,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"12521 Prosperity Drive Silver Spring, Maryland 20904"
American Express,AMX,Sheraton College Park North Hotel,Rate Unavailable,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"4095 Powder Mill Road Beltsville, Maryland 20705"
American Express,AMX,Residence Inn Silver Spring,166,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"12000 Plum Orchard Drive Silver Spring, Maryland 20904"
American Express,AMX,TownePlace Suites College Park,103,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"9620 Baltimore Avenue College Park, Maryland 20740"
American Express,AMX,Baltimore Marriott Inner Harbor at Camden Yards,Rate Unavailable,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"110 South Eutaw Street Baltimore, Maryland 21201"
American Express,AMX,Sheraton Inner Harbor Hotel,Rate Unavailable,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"300 South Charles Street Baltimore, Maryland 21201"
American Express,AMX,Residence Inn Greenbelt,107,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"6320 Golden Triangle Drive Greenbelt, Maryland 20770"
American Express,AMX,Courtyard Greenbelt,87,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"6301 Golden Triangle Drive Greenbelt, Maryland 20770"
American Express,AMX,Delta Hotels Baltimore Inner Harbor,Rate Unavailable,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1 East Redwood Street Baltimore, Maryland 21202"
American Express,AMX,Residence Inn Baltimore Downtown/ Inner Harbor,97,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"17 Light Street Baltimore, Maryland 21202"
American Express,AMX,SpringHill Suites Baltimore Downtown/Inner Harbor,76,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"120 East Redwood Street Baltimore, Maryland 21202"
American Express,AMX,Renaissance Baltimore Harborplace Hotel,195,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"202 East Pratt Street Baltimore, Maryland 21202"
American Express,AMX,Courtyard Baltimore Downtown/McHenry Row,112,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1803 Porter Street Baltimore, Maryland 21230"
American Express,AMX,Residence Inn Baltimore Owings Mills,176,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"10620 Red Run Boulevard Owings Mills, Maryland 21117"
American Express,AMX,Baltimore Marriott Waterfront,Rate Unavailable,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"700 Aliceanna Street Baltimore, Maryland 21202"
American Express,AMX,Fairfield Inn & Suites Baltimore Downtown/Inner Harbor,82,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"101 S. President Street Baltimore, Maryland 21202"
American Express,AMX,Courtyard Baltimore Downtown/Inner Harbor,131,"Columbia, MD",2020-09-17,Nov 17,Nov 18,"1000 Aliceanna Street Baltimore, Maryland 21202"
